external_key,legacy_ids,content_type,canonical_title,languages,category_links,title,page_count,duration_minutes,age_range,author,dubbing,illustrator,resolution_status,target_folder
legacy-content-story-televizyondaki-kar-ncalar,18,STORY,Televizyondaki Karıncalar,und,,Televizyondaki Karıncalar,16,3,4,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-televizyondaki-kar-ncalar-televizyondaki-kar-ncalar
legacy-content-story-dedemin-karn-ndaki-zil,19,STORY,Dedemin Karnındaki Zil,und,,Dedemin Karnındaki Zil,9,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-dedemin-karn-ndaki-zil-dedemin-karn-ndaki-zil
legacy-content-story-dinoco-nerede,20,STORY,Dinoco Nerede,und,,Dinoco Nerede,19,1,1,Özgün TellPal Kütüphanesi,Reyhan Koca,,LIKELY,STORY-story-dinoco-nerede-dinoco-nerede
legacy-content-story-dinozor-muzesi,21,STORY,Dinozor Müzesi,und,,Dinozor Müzesi,10,1,4,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-dinozor-muzesi-dinozor-muzesi
legacy-content-story-orman-n-renkleri,22|32,STORY,Ormanın Renkleri,tr,tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Problem Çözme Becerisi 🎯|tr:Şarkılarla Hikayeler 🎶,Ormanın Renkleri,19,4,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,MATCHED,STORY-story-orman-n-renkleri-orman-n-renkleri
legacy-content-story-egemen-araba-yar-s-nda,23,STORY,Egemen Araba Yarışında,und,,Egemen Araba Yarışında,19,1,1,Özgün TellPal Kütüphanesi,Reyhan Koca,,LIKELY,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda
legacy-content-story-nota-ve-gunler,24,STORY,Nota ve Günler,und,,Nota ve Günler,14,3,3,Nida Nur Küçük,Nida Nur Küçük,,LIKELY,STORY-story-nota-ve-gunler-nota-ve-gunler
legacy-content-story-my-lost-shoes,25,STORY,My Lost Shoes,und,,My Lost Shoes,15,4,4,TellPal Library,Reyhan Koca,,LIKELY,STORY-story-my-lost-shoes-my-lost-shoes
legacy-content-story-my-most-beautiful-gift,26,STORY,My Most Beautiful Gift,und,,My Most Beautiful Gift,14,4,4,TellPal Library,Reyhan Koca,,LIKELY,STORY-story-my-most-beautiful-gift-my-most-beautiful-gift
legacy-content-story-dinosaur-museum,27,STORY,Dinosaur Museum,und,,Dinosaur Museum,10,3,4,TellPal Library,Reyhan Koca,,LIKELY,STORY-story-dinosaur-museum-dinosaur-museum
legacy-content-story-x1,28,STORY,x1,und,,x1,11,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-x1-x1
legacy-content-story-x2,29,STORY,x2,und,,x2,15,1,1,Özgün TellPal Kütüphanesi,Nida Nur Küçük,,LIKELY,STORY-story-x2-x2
legacy-content-story-minikler-s-n-f-n-n-haklar,30,STORY,Minikler Sınıfı'nın Hakları,tr,tr:Özel Gün ve Haftalar 💎|tr:Öğretici Hikayeler 🔮,Minikler Sınıfı'nın Hakları,19,3,3,Özgün TellPal Kütüphanesi,Büşra Lüleci Oldaç,,MATCHED,STORY-story-minikler-s-n-f-n-n-haklar-minikler-s-n-f-n-n-haklar
legacy-content-story-cal-skan-disler,31,STORY,Çalışkan Dişler,tr,tr:Özel Gün ve Haftalar 💎|tr:Öğretici Hikayeler 🔮,Çalışkan Dişler,16,3,3,Özgün TellPal Kütüphanesi,Büşra Lüleci Oldaç,,MATCHED,STORY-story-cal-skan-disler-cal-skan-disler
legacy-content-story-orman-n-renkleri,22|32,STORY,Ormanın Renkleri,tr,tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Problem Çözme Becerisi 🎯|tr:Şarkılarla Hikayeler 🎶,Ormanın Renkleri,19,4,4,Özgün TellPal Kütüphanesi,Ebru Tinçer,Gonca Soner,MATCHED,STORY-story-orman-n-renkleri-orman-n-renkleri
legacy-content-story-pinokyo,33,STORY,Pinokyo,und,,Pinokyo,24,7,4,Dünya Edebiyatı Klasikleri,Burak Küçüksağır,,LIKELY,STORY-story-pinokyo-pinokyo
legacy-content-story-the-kite-hill,34,STORY,The Kite Hill,en|pt|tr,en:Family and Friendship 🤗|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Kite Hill,10,2,4,TellPal Library,Kai Forrest,,MATCHED,STORY-story-the-kite-hill-the-kite-hill
legacy-content-story-sarmas-k-orman,35|42,STORY,Sarmaşık Ormanı,tr,tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Paylaşma ve İş Birliği 🤝|tr:Sevimli Dostlarımız🐕🐅🐎🐼|tr:Öz Güven ve Cesaret 💪,Sarmaşık Ormanı,17,3,3,Nida Nur Küçük,Büşra Lüleci Oldaç,,MATCHED,STORY-story-sarmas-k-orman-sarmas-k-orman
legacy-content-story-ucurtma-tepesi,36,STORY,Uçurtma Tepesi,und,,Uçurtma Tepesi,10,2,4,Özgün TellPal Kütüphanesi,Büşra Lüleci Oldaç,,LIKELY,STORY-story-ucurtma-tepesi-ucurtma-tepesi
legacy-content-story-lezzetli-dans-yar-smas,37,STORY,Lezzetli Dans Yarışması,tr,tr:Etkinlik ve Eğlence 🥳|tr:Hayal Gücü ve Yaratıcılık 💫|tr:Rekabeti Öğrenme 🥇🏆|tr:Çocukların Favorileri 🙌,Lezzetli Dans Yarışması,13,3,3,Özgün TellPal Kütüphanesi,Eren Coşan,Dilan Balcı,MATCHED,STORY-story-lezzetli-dans-yar-smas-lezzetli-dans-yar-smas
legacy-content-story-the-ivy-forest,38,STORY,The Ivy Forest,en|pt|tr,en:Confidence and Courage 💪|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Ivy Forest,16,3,3,Nida Nur Küçük,Stacey Kay,Sawira Latif,MATCHED,STORY-story-the-ivy-forest-the-ivy-forest
legacy-content-lullaby-gokyuzune-seruven,39,LULLABY,Gökyüzüne Serüven,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Gökyüzüne Serüven,1,1,1,Ali Kaan Uysal,Piyano - Glockenspiel,,MATCHED,LULLABY-lullaby-gokyuzune-seruven-gokyuzune-seruven
legacy-content-story-gokkusag-n-n-renkleri,40,STORY,Gökkuşağının Renkleri,tr,tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Duygusal Farkındalık ✨|tr:Etkinlik ve Eğlence 🥳|tr:Paylaşma ve İş Birliği 🤝|tr:Rekabeti Öğrenme 🥇🏆,Gökkuşağının Renkleri,16,3,3,Nida Nur Küçük,Eren Coşan,Dilan Balcı,MATCHED,STORY-story-gokkusag-n-n-renkleri-gokkusag-n-n-renkleri
legacy-content-story-a-strange-trip,41,STORY,A Strange Trip,en|tr,en:Adventure Stories 🧭|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Our Nature and Life 💚🏕️🌿🌲☘️|tr:İngilizce Hikayeler 🌎,A Strange Trip,16,3,6,Namrah Binte Abbas,Cj Mullin,Hoorain Fatima,MATCHED,STORY-story-a-strange-trip-a-strange-trip
legacy-content-story-sarmas-k-orman,35|42,STORY,Sarmaşık Ormanı,tr,tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Paylaşma ve İş Birliği 🤝|tr:Sevimli Dostlarımız🐕🐅🐎🐼|tr:Öz Güven ve Cesaret 💪,Sarmaşık Ormanı,17,3,4,Nida Nur Küçük,Büşra Lüleci Oldaç,Sawira Latif,MATCHED,STORY-story-sarmas-k-orman-sarmas-k-orman
legacy-content-story-bob-s-tough-choice,43,STORY,Bob's Tough Choice,en|pt|tr,en:Activities and Fun 🥳|en:Audio Books 🎧|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Sense of Competition 🥇🏆|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Bob's Tough Choice,16,4,4,TellPal Library,Elise Rosendale,Şevval Şahin,MATCHED,STORY-story-bob-s-tough-choice-bob-s-tough-choice
legacy-content-story-bubi-nin-zorlu-secimi,44,STORY,Bubi’nin Zorlu Seçimi,tr,tr:Aile ve Arkadaşlık 🤗|tr:Etkinlik ve Eğlence 🥳|tr:Rekabeti Öğrenme 🥇🏆|tr:Sesli Kitaplar 🎧,Bubi’nin Zorlu Seçimi,16,4,4,Özgün TellPal Kütüphanesi,Eren Coşan,Şevval Şahin,MATCHED,STORY-story-bubi-nin-zorlu-secimi-bubi-nin-zorlu-secimi
legacy-content-story-delicious-dance-competition,45,STORY,Delicious Dance Competition,en|tr,en:Activities and Fun 🥳|en:Imagination and Creativity 💫|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sense of Competition 🥇🏆|tr:İngilizce Hikayeler 🌎,Delicious Dance Competition,13,3,3,TellPal Library,Elise Rosendale,Dilan Balcı,MATCHED,STORY-story-delicious-dance-competition-delicious-dance-competition
legacy-content-story-sleepless-apartment,46,STORY,Sleepless Apartment,en|pt|tr,en:Adventure Stories 🧭|en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Problem Solving Skills 🎯|en:Serial Stories 🎬|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Sleepless Apartment,18,5,3,Nida Nur Küçük,Kai Forrest,Cansu Küçükal,MATCHED,STORY-story-sleepless-apartment-sleepless-apartment
legacy-content-story-uykusuzlar-apartman,47,STORY,Uykusuzlar Apartmanı,tr,tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Ebeveynlerin Favorileri ❤️|tr:Empati ve Hoşgörü 💞|tr:Problem Çözme Becerisi 🎯|tr:Seri Hikayeler 🧭|tr:Sesli Kitaplar 🎧|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️|tr:Çocukların Favorileri 🙌,Uykusuzlar Apartmanı,18,5,3,Nida Nur Küçük,Ebru Tinçer,Cansu Küçükal,MATCHED,STORY-story-uykusuzlar-apartman-uykusuzlar-apartman
legacy-content-story-the-colors-of-the-rainbow,48,STORY,The Colors of The Rainbow,en|pt|tr,en:Activities and Fun 🥳|en:Emotional Awareness ✨|en:Informative Stories 🔮|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sense of Competition 🥇🏆|en:Sharing and Cooperation 🤝|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Colors of The Rainbow,16,3,3,TellPal Library,Kai Forrest,Dilan Balcı,MATCHED,STORY-story-the-colors-of-the-rainbow-the-colors-of-the-rainbow
legacy-content-lullaby-melodi-melekleri,49,LULLABY,Melodi Melekleri,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Melodi Melekleri,1,1,1,Ali Kaan Uysal,Piyano - Glockenspiel,,MATCHED,LULLABY-lullaby-melodi-melekleri-melodi-melekleri
legacy-content-lullaby-huzurlu-ruyalar-n-melodisi,50,LULLABY,Huzurlu Rüyaların Melodisi,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Huzurlu Rüyaların Melodisi,1,1,1,Ali Kaan Uysal,Çelesta,,MATCHED,LULLABY-lullaby-huzurlu-ruyalar-n-melodisi-huzurlu-ruyalar-n-melodisi
legacy-content-lullaby-y-ld-zlar-n-dans,51,LULLABY,Yıldızların Dansı,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Yıldızların Dansı,1,1,1,Ali Kaan Uysal,Çelesta - Yaylı Orkestra,,MATCHED,LULLABY-lullaby-y-ld-zlar-n-dans-y-ld-zlar-n-dans
legacy-content-story-z-pz-p-kuki-ile-ciko,52,STORY,Zıpzıp Kuki ile Çiko,tr,tr:Aile ve Arkadaşlık 🤗|tr:Animasyonlu Hikayeler|tr:Duygusal Farkındalık ✨|tr:Çocukların Favorileri 🙌,Zıpzıp Kuki ile Çiko,10,3,3,Özgün TellPal Kütüphanesi,Ebru Tinçer,Cansu Küçükal,MATCHED,STORY-story-z-pz-p-kuki-ile-ciko-z-pz-p-kuki-ile-ciko
legacy-content-lullaby-polar-ritim,53,LULLABY,Polar Ritim,tr,tr:Ninni ve Dinlendirici Müzikler 😴,Polar Ritim,1,1,1,Ali Kaan Uysal,Arp,,MATCHED,LULLABY-lullaby-polar-ritim-polar-ritim
legacy-content-lullaby-the-dance-of-the-stars,304|54,LULLABY,The Dance of the Stars,en|pt,en:Lullaby and Relaxing Music 😴|pt:Canções de Ninar 😴,The Dance of the Stars,1,1,1,Ali Kaan Uysal,Vibraphone,,MATCHED,LULLABY-lullaby-the-dance-of-the-stars-the-dance-of-the-stars
legacy-content-lullaby-polar-rhythm,55,LULLABY,Polar Rhythm,en,en:Lullaby and Relaxing Music 😴,Polar Rhythm,1,1,1,Ali Kaan Uysal,Chelesta - String Orchestra,,MATCHED,LULLABY-lullaby-polar-rhythm-polar-rhythm
legacy-content-lullaby-melody-angels,56,LULLABY,Melody Angels,en,en:Lullaby and Relaxing Music 😴,Melody Angels,1,1,1,Ali Kaan Uysal,Harp,,MATCHED,LULLABY-lullaby-melody-angels-melody-angels
legacy-content-lullaby-melody-of-peaceful-dreams,57,LULLABY,Melody of Peaceful Dreams,en,en:Lullaby and Relaxing Music 😴,Melody of Peaceful Dreams,1,1,1,Ali Kaan Uysal,Chelesta,,MATCHED,LULLABY-lullaby-melody-of-peaceful-dreams-melody-of-peaceful-dreams
legacy-content-story-kuki-and-barky,58,STORY,Kuki and Barky,en|pt|tr,en:Emotional Awareness ✨|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Kuki and Barky,10,3,3,TellPal Library,Jenica Domanico,Cansu Küçükal,MATCHED,STORY-story-kuki-and-barky-kuki-and-barky
legacy-content-lullaby-adventure-to-the-sky,59,LULLABY,Adventure to the Sky,en,en:Lullaby and Relaxing Music 😴,Adventure to the Sky,1,1,1,Ali Kaan Uysal,Piano - Glockenspiel,,MATCHED,LULLABY-lullaby-adventure-to-the-sky-adventure-to-the-sky
legacy-content-story-happy-to-live,61,STORY,Happy To Live,en|pt|tr,en:Activities and Fun 🥳|en:Emotional Awareness ✨|en:Empathy and Tolerance 💞|en:Family and Friendship 🤗|en:Informative Stories 🔮|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Happy To Live,15,3,7,TellPal Library,Jon Lobb,Şevval Şahin,MATCHED,STORY-story-happy-to-live-happy-to-live
legacy-content-story-iyi-ki-var-m,62,STORY,İyi Ki Varım,tr,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨|tr:Empati ve Hoşgörü 💞|tr:Etkinlik ve Eğlence 🥳|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️|tr:Öğretici Hikayeler 🔮,İyi Ki Varım,15,2,7,Özgün TellPal Kütüphanesi,Eren Coşan,Şevval Şahin,MATCHED,STORY-story-iyi-ki-var-m-iyi-ki-var-m
legacy-content-story-haberci-nota,10|63,STORY,Haberci Nota,tr,tr:Ebeveynlerin Favorileri ❤️|tr:Seri Hikayeler 🧭|tr:Çocukların Favorileri 🙌|tr:Şarkılarla Hikayeler 🎶,Haberci Nota,14,4,3,Nida Nur Küçük,Pelin Aygün,Gonca Soner,MATCHED,STORY-story-haberci-nota-haberci-nota
legacy-content-story-talkative-birdie,65,STORY,Talkative Birdie,en|pt|tr,en:Family and Friendship 🤗|en:Our Nature and Life 💚🏕️🌿🌲☘️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Talkative Birdie,19,4,4,TellPal Library,Jenica Domanico,Gonca Soner,MATCHED,STORY-story-talkative-birdie-talkative-birdie
legacy-content-story-the-clumsy-fox,66,STORY,The Clumsy Fox,en|pt|tr,en:Adventure Stories 🧭|en:Emotional Awareness ✨|en:Family and Friendship 🤗|en:Our Nature and Life 💚🏕️🌿🌲☘️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Clumsy Fox,16,5,4,TellPal Library,Athira Kuniyil,Dilan Balcı,MATCHED,STORY-story-the-clumsy-fox-the-clumsy-fox
legacy-content-story-h-zl-kurye-dodo,67,STORY,Hızlı Kurye Dodo,tr,tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Empati ve Hoşgörü 💞|tr:Problem Çözme Becerisi 🎯|tr:Seri Hikayeler 🧭|tr:Sesli Kitaplar 🎧|tr:Sevimli Dostlarımız🐕🐅🐎🐼,Hızlı Kurye Dodo,14,4,3,Nida Nur Küçük,Ebru Tinçer,Cansu Küçükal,MATCHED,STORY-story-h-zl-kurye-dodo-h-zl-kurye-dodo
legacy-content-story-fast-courier-dodo,68,STORY,Fast Courier Dodo,en|pt|tr,en:Audio Books 🎧|en:Empathy and Tolerance 💞|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Problem Solving Skills 🎯|en:Serial Stories 🎬|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Fast Courier Dodo,14,3,3,Nida Nur Küçük,Kai Forrest,Cansu Küçükal,MATCHED,STORY-story-fast-courier-dodo-fast-courier-dodo
legacy-content-story-ozel-tarifli-kurabiye,69,STORY,Özel Tarifli Kurabiye,tr,tr:Etkinlik ve Eğlence 🥳|tr:Paylaşma ve İş Birliği 🤝|tr:Rekabeti Öğrenme 🥇🏆,Özel Tarifli Kurabiye,18,4,4,Özgün TellPal Kütüphanesi,Ebru Tinçer,Dilan Balcı,MATCHED,STORY-story-ozel-tarifli-kurabiye-ozel-tarifli-kurabiye
legacy-content-story-the-special-recipe,70,STORY,The Special Recipe,en,en:Activities and Fun 🥳|en:Sense of Competition 🥇🏆|en:Sharing and Cooperation 🤝,The Special Recipe,18,3,4,TellPal Library,Cj Mullin,Dilan Balcı,MATCHED,STORY-story-the-special-recipe-the-special-recipe
legacy-content-story-toprak-solucan-yolculuk,71,STORY,Toprak Solucanı - Yolculuk,tr,tr:Animasyonlu Hikayeler|tr:Seri Hikayeler 🧭|tr:Toprak Solucanı Serisi 🐛|tr:Çocukların Favorileri 🙌|tr:Öz Güven ve Cesaret 💪,Toprak Solucanı - Yolculuk,15,5,4,Zeynep Çokran,Eren Coşan,Gonca Soner,MATCHED,STORY-story-toprak-solucan-yolculuk-toprak-solucan-yolculuk
legacy-content-story-melody-the-messenger-sparrow,72,STORY,Melody the Messenger Sparrow,en|pt|tr,en:Activities and Fun 🥳|en:Adventure Stories 🧭|en:Editors' Pick 🙌|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Serial Stories 🎬|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Melody the Messenger Sparrow,14,4,3,Nida Nur Küçük,Mariah Kerr,Gonca Soner,MATCHED,STORY-story-melody-the-messenger-sparrow-melody-the-messenger-sparrow
legacy-content-story-ritmi-bozuk-saat,73,STORY,Ritmi Bozuk Saat,tr,tr:Animasyonlu Hikayeler|tr:Duygusal Farkındalık ✨|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌|tr:Şarkılarla Hikayeler 🎶,Ritmi Bozuk Saat,15,4,4,Nida Nur Küçük,Serkan Korkmaz,Cansu Küçükal,MATCHED,STORY-story-ritmi-bozuk-saat-ritmi-bozuk-saat
legacy-content-story-the-rhythm-of-the-clock,74,STORY,The Rhythm of The Clock,en|pt|tr,en:Audio Books 🎧|en:Emotional Awareness ✨|en:Mothers' Favorites ❤️|en:Problem Solving Skills 🎯|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,The Rhythm of The Clock,15,5,4,Nida Nur Küçük,Jon Lobb,Cansu Küçükal,MATCHED,STORY-story-the-rhythm-of-the-clock-the-rhythm-of-the-clock
legacy-content-story-earthworm-1-the-journey,75,STORY,Earthworm 1 - The Journey,en|pt|tr,en:Audio Books 🎧|en:Confidence and Courage 💪|en:Earthworm Series 🐛|en:Mothers' Favorites ❤️|en:Serial Stories 🎬|en:Stories with Animations|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Earthworm 1 - The Journey,15,5,4,Zeynep Çokran,Jenica Domanico,Gonca Soner,MATCHED,STORY-story-earthworm-1-the-journey-earthworm-1-the-journey
legacy-content-story-petopya,76,STORY,Petopya,tr,tr:Duygusal Farkındalık ✨|tr:Empati ve Hoşgörü 💞|tr:Sesli Kitaplar 🎧|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️,Petopya,21,5,7,Fajar Niazi,Mücahit Akif Köz,Şevval Şahin,MATCHED,STORY-story-petopya-petopya
legacy-content-story-petopia,316|516|77,STORY,Petopia,de|en|pt|tr,de:Emotionale Achtsamkeit ✨|de:Gute-Nacht-Geschichten 😴🌙🛏️|en:Adventure Stories 🧭|en:Audio Books 🎧|en:Emotional Awareness ✨|en:Empathy and Tolerance 💞|en:Mothers' Favorites ❤️|en:Our Nature and Life 💚🏕️🌿🌲☘️|en:Sleeping Stories 😴🌙🛏️|pt:Audiolivros 🎧|pt:Consciência Emocional ✨|pt:Descubra a Biblioteca 🕵🏻‍♂️|pt:Empatia e Tolerância 💞|pt:Histórias Para Dormir 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Petopia,21,5,7,Fajar Niazi,Jeffrey Fukushima,Şevval Şahin,MATCHED,STORY-story-petopia-petopia
legacy-content-story-mese-palamudu-ile-ay-cekirdegi,78,STORY,Meşe Palamudu ile Ay Çekirdeği,tr,tr:Empati ve Hoşgörü 💞|tr:Uyku Öncesi Hikayeleri 😴🌙🛏️,Meşe Palamudu ile Ay Çekirdeği,10,4,4,Özgün TellPal Kütüphanesi,Caner Özyazar,Cansu Küçükal,MATCHED,STORY-story-mese-palamudu-ile-ay-cekirdegi-mese-palamudu-ile-ay-cekirdegi
legacy-content-story-acorn-and-sunflower-seed,80,STORY,Acorn and Sunflower Seed,en|pt|tr,en:Empathy and Tolerance 💞|en:Family and Friendship 🤗|en:Mothers' Favorites ❤️|en:Sleeping Stories 😴🌙🛏️|pt:Histórias em Inglês 🇬🇧|tr:İngilizce Hikayeler 🌎,Acorn and Sunflower Seed,10,4,4,TellPal Library,Cj Mullin,Cansu Küçükal,MATCHED,STORY-story-acorn-and-sunflower-seed-acorn-and-sunflower-seed
legacy-content-story-bir-h-ck-r-k-meselesi,81,STORY,Bir Hıçkırık Meselesi,tr,tr:Animasyonlu Hikayeler|tr:Paylaşma ve İş Birliği 🤝|tr:Problem Çözme Becerisi 🎯|tr:Sesli Kitaplar 🎧|tr:Çocukların Favorileri 🙌,Bir Hıçkırık Meselesi,21,5,5,Zeynep Çokran,Serkan Korkmaz,Cansu Küçükal,MATCHED,STORY-story-bir-h-ck-r-k-meselesi-bir-h-ck-r-k-meselesi
