language,name,normalized_name,type
pt,Confiança e Coragem 💪,confianca e coragem,STORY
pt,Histórias com Músicas 🎶,historias com musicas,STORY
pt,Imaginação 💫,imaginacao,STORY
pt,Histórias em Inglês 🇬🇧,historias em ingles,STORY
en,Magic Words 🧙✨🎩,magic words,STORY
pt,Nossa Natureza e Vida,nossa natureza e vida,STORY
pt,Atividades e Diversão 🥳,atividades e diversao,STORY
pt,Histórias em Série 🎬,historias em serie,STORY
tr,İngilizce Hikayeler 🌎,ingilizce hikayeler,STORY
pt,Histórias de Aventura,historias de aventura,STORY
pt,Série Minhoca 🐛,serie minhoca,STORY
pt,Consciência Emocional ✨,consciencia emocional,STORY
pt,Mais Populares ❤️,mais populares,STORY
pt,Família e Amizade 🤗,familia e amizade,STORY
tr,Yepyeni Hikayeler ⭐,yepyeni hikayeler,STORY
en,Brand New Stories⭐,brand new stories,STORY
pt,Palavras Mágicas 🧙✨🎩,palavras magicas,STORY
en,Earthworm Series 🐛,earthworm series,STORY
en,Stories with Animations,stories with animations,STORY
pt,Histórias Para Dormir 😴🌙🛏️,historias para dormir,STORY
pt,Descubra a Biblioteca 🕵🏻‍♂️,descubra a biblioteca,STORY
de,Problemlöse-Fähigkeiten 🎯,problemlose fahigkeiten,STORY
de,Die Favoriten der Eltern ❤️,die favoriten der eltern,STORY
de,Aktivität & Spaß 🥳,aktivitat spass,STORY
de,Hörbücher 🎧,horbucher,AUDIO_STORY
de,Kinderfavoriten 🙌,kinderfavoriten,STORY
de,Fantasie & Kreativität 💫,fantasie kreativitat,STORY
de,Unsere lieben Freunde 🐕🐅🐎🐼,unsere lieben freunde,STORY
de,Familie & Freundschaft 🤗,familie freundschaft,STORY
de,Animierte Geschichten,animierte geschichten,STORY
de,Natur & Entdeckung 💚🏕️🌿🌲🌳☘️,natur entdeckung,STORY
de,Gute-Nacht-Geschichten 😴🌙🛏️,gute nacht geschichten,STORY
de,Schlaflieder & Beruhigende Musik 😴,schlaflieder beruhigende musik,LULLABY
de,Empathie & Toleranz 💞,empathie toleranz,STORY
de,Geschichten mit Liedern 🎶,geschichten mit liedern,STORY
de,Teilen & Zusammenarbeit 🤝,teilen zusammenarbeit,STORY
de,Lehrreiche Geschichten 🔮,lehrreiche geschichten,STORY
de,Die Regenwurm-Reihe 🐛,die regenwurm reihe,STORY
de,Selbstvertrauen & Mut 💪,selbstvertrauen mut,STORY
de,Emotionale Achtsamkeit ✨,emotionale achtsamkeit,STORY
de,Meditation 🧘🍃,meditation,MEDITATION
de,Seriengeschichten 🧭,seriengeschichten,STORY
de,Wettkampf lernen 🥇🏆,wettkampf lernen,STORY
de,Wissenschaft 🌱:•.🧪,wissenschaft,STORY
de,Magische Wörter 🧙✨🎩,magische worter,STORY
de,Hallo Sommer 🌞🏄,hallo sommer,STORY
de,Brandneue Geschichten ⭐,brandneue geschichten,STORY
